dataset_url;licence_url;licence
http://open-data.europa.eu/open-data/data/dataset/0Wt32GasCv2ciTXwxN2g;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0WuszjBxW3aw7m4hkqhQ;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0XDUIB3mxZWrxvtzw0BwA;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0XhAcaoFFB70e5PBYEyJA;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0Z4NXm9gdYx0dxBIYC1EyQ;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0aN3JfsLIpPjHpWTzjzrKg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0b1ctzCJTkbkF3BWPsO48w;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0cNLhDDztMu8b0weIZNHA;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0dHHABUVAFZ5phmwLpXw;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0dzXUnwRvW0IxeAfAijRHA;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0eO34XNruum63Pk8jw1kw;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0erJrKerZW7q9c2R0dwFw;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0fjLEHsX2cgbijywPUTkzg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0gRppE6Nw9fUUZOGXmyow;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0hHPpqpJSaza6VYSCskiQ;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0hXRvci7CMrfcSOEDU70LQ;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0hgxkMQH5QznG2IySfRzdw;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0i6T9Ru5qlqplM5eRetKdA;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0iNcJl4EazczJK1CafL2Ag;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0jJQqPPQVAq6LBtmnc2D1w;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0jdKVMtqt1ArTqa1DYVNA;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0jmfbx3r8rfJk5cEQazmrw;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0kWlXUDTgUjloYDj3AWpfQ;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0m4mkhtXoiUn9v7LwKR1w;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0n2pFq7J6EY4fdZjzIDaLw;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0nbvrza2lK14aYULeEW1Kg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0qMFlyqhv95veAyjqRNA;http://ec.europa.eu/geninfo/legal_notices_en.htm;Europa Legal Notice
http://open-data.europa.eu/open-data/data/dataset/0rbR7QaXa5MhtnxRSgYQ8Q;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0t1PPE7mCe7Biry0CuQ;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0txZ4nzhMuxsTdVdfokxMA;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0uTtTWvoZXjFoB33ZSl9cg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0v0clJBG63q5Lz4dR7g;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0vD8gozCQ56UKBLO79uyg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0vEH6PP6w8aSHFtHyKO0Q;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0vMEeLpRDUj47Px4aMg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0vl7cqhlHwy4ykr5gtCCQ;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0wdkiNTLylQPXJCCsJvIQ;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0wowCLTHey31DI4ehP2AUA;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0zQdDivjtDjuiyYBOyiqpQ;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/0zfzLZ9IfgWYPmxOu8aw;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/1133WIylBZcNbD03LU5pyA;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/113Yjpl3qhfG62Otwtffg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/12VLDzAHktetUzgDXvg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/1432sFyoKqUpRjV6ang2TA;http://ec.europa.eu/geninfo/legal_notices_en.htm;Europa Legal Notice
http://open-data.europa.eu/open-data/data/dataset/147UIv4EBkTVk1kQAYowzw;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/16TWzi05PCDEvAPJj2XcZw;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/16X5kxrV3sMUUfrxkkx6PQ;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/17xPT0MRKYDWNGRBzBiyQg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/186GWXUVZbBLCd9CLE1Giw;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/18qPCD3noMQni4YTUhXmg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
http://open-data.europa.eu/open-data/data/dataset/19FM1b3ctGwdxeyY7Mayg;http://epp.eurostat.ec.europa.eu/portal/page/portal/about_eurostat/policies/copyright_licence_policy;Eurostat Copyright/Licence Policy
