Bénéficiaire,Département,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve
VIENVILLE,88,L'aménagement d'un parking,14870,7000,ACCOYER Bernard,Assemblée nationale
VIESLY,59,"L'acquisition et la pose de jeux pour l'aménagement d'un espace ""coin des mamans"" au droit des services techniques",25326,10000,HERVIAUX Odette,Sénat
VIETHOREY,25,"La réfection de la voie communale n°5 dite ""de Viéthorey à Voillans""",82390,2000,HUMBERT Jean-François,Sénat
VIEUVICQ,28,Aménagements de sécurité sur la RD 124 en traverse du bourg,24075,5000,BILLARD Joël,Sénat
VIEUVY,53,L'enfouissement des réseaux électriques et téléphoniques,40535,10000,FAVENNEC Yannick,Assemblée nationale
VIEUX,14,L'aménagement de la mairie dans l'ancienne école communale,341600,8000,-,Réserve ministérielle
VIEUX-CONDE,59,L'acquisition d'une classe mobile pour l'école primaire Joliot Curie,44720,20000,BOCQUET Eric,Sénat
VIEUX-LES-ASFELD,8,L'édification d'un columbarium et l'aménagement d'un jardin du souvenir,5857,2000,POLETTI Bérengère,Assemblée nationale
VIEUX-LIXHEIM,57,L'aménagement d'un jardin du souvenir et d'un ossuaire,8501,4250,MARTY Alain,Assemblée nationale
VIEUX-MOULIN,88,La réhabilitation des anciennes salles de classe en salle multi-activités,13653,4000,CHERPION Gérard,Assemblée nationale
VIEUX-MOULIN,60,La réhabilitation et la mise aux normes de la salle polyvalente (phases 1 et 2),92520,20000,RAOUL Daniel,Sénat
VIEUX-MOULIN,60,La mise aux normes des équipements de la cantine de l'école communale,8059,4029,RAOUL Daniel,Sénat
VIEUX-RENG,59,La restauration du kiosque,12750,6000,MARIN Christine,Assemblée nationale
VIEUX-RENG,59,L'édification d'un columbarium,12783,6000,MARIN Christine,Assemblée nationale
VIEUZOS,65,La mise aux normes électriques de l'appartement communal et la réfection de l'avancée du toit de la mairie,6104,1200,FORGUES Pierre,Assemblée nationale
VIEVIGNE,21,La réfection extérieure du château d'eau,25062,5000,DELATTE Rémi,Assemblée nationale
VIEVILLE-EN-HAYE,54,La réfection du chemin d'Euvezin,17505,3000,REINER Daniel,Sénat
VIGLAIN,45,"La réhabilitation de l'immeuble situé 11, place de l'Eglise en Maison de santé rurale",240000,15000,CARDOUX Jean-Noël,Sénat
VIGNALE,2B,"La construction d'un abri ""quad""",5239,2619,GANDOLFI-SCHEIT Sauveur,Assemblée nationale
VIGNALE,2B,L'acquisition et la pose de portails,5912,2956,GANDOLFI-SCHEIT Sauveur,Assemblée nationale
VIGNELY,77,La motorisation de la porte d'accès au parking et la pose d'un interphone vidéo,9694,4000,-,Réserve ministérielle
VIGNELY,77,La réfection du mur de clôture de la mairie et l'intégration de boîtes aux lettres collectives,6514,3000,-,Réserve ministérielle
VIGNELY,77,L'édification d'un columbarium,13378,6000,-,Réserve ministérielle
VIGNEMONT,60,La refonte de la signalisation communale,18929,5000,RAOUL Daniel,Sénat
VIGNEUX-DE-BRETAGNE,44,L'aménagement de liaisons douces sur le secteur du boulevard Charles de Gaulle et de la rue de la Maladrie (1ère tranche),193460,85000,AYRAULT Jean-Marc,Assemblée nationale
VIGNOLS,19,L'extension du réfectoire,146727,2000,HOLLANDE François,Assemblée nationale
VIGNOLS,19,L'acquisition de mobilier pour la cantine scolaire,5458,2729,LE MENN Jacky,Sénat
VIGOULANT,36,La réfection d'un mur de clôture de l'ancienne mairie et de la salle polyvalente,13096,5000,FORISSIER Nicolas,Assemblée nationale
VIJON,36,L'acquisition de cinq ordinateurs portables pour l'école,2087,1000,MAYET Jean-François,Sénat
VILDE-GUINGALAN,22,L'aménagement de la rue des Templiers,255481,9000,GAUBERT Jean,Assemblée nationale
VILLABE,91,"La construction des vestiaires du stade, rue du Chemin Vert",695936,10000,PLACE Jean-Vincent,Sénat
VILLACERF,10,La construction d'un local technique (1ère tranche),26606,4000,DHUICQ Nicolas,Assemblée nationale
VILLACERF,10,La construction d'un local technique (2ème tranche),262482,30000,-,Réserve ministérielle
VILLACERF,10,La pose de volets à l'école maternelle (phase 2),6960,1000,ADNOT Philippe,Sénat
VILLAINES-LA-CARELLE,72,L'aménagement de l'entrée du village,4642,2320,CHAUVEAU Jean-Pierre,Sénat
VILLAINES-LES-ROCHERS,37,"La réfection de la voirie, chemin rural n°42 et rue de Jolivet",53578,15000,NOVELLI Hervé,Assemblée nationale
VILLALIER,11,La réfection de la façade du foyer situé place du Stade,31243,4000,PEREZ Jean-Claude,Assemblée nationale
VILLANDRY,37,L'aménagement d'un terrain multisports et de ses abords,65925,10000,NOVELLI Hervé,Assemblée nationale
VILLARD-D'HERY,73,L'assainissement et l'enfouissement de réseaux du bourg (5ème tranche),236500,40000,BOUVARD Michel,Assemblée nationale
VILLARDS-D'HERIA,39,L'aménagement de la route d'accès au site gallo-romain,41179,10000,DALLOZ Marie-Christine,Assemblée nationale
VILLARIES,31,L'acquisition et la restauration du lavoir du village,14250,7000,CHATILLON Alain,Sénat
VILLARS-LES-BLAMONT,25,La construction d'une station de traitement des eaux usées,520000,4252,HUMBERT Jean-François,Sénat
VILLARS-LES-DOMBES,1,L'aménagement du chemin de Bel Air,73000,10000,VOISIN Michel,Assemblée nationale
VILLARS-LES-DOMBES,1,L'acquisition de défibrillateurs cardiaques automatiques et de boîtiers muraux,7872,2000,GOY-CHAVENT Sylvie,Sénat
VILLARS-LE-SEC,90,La rénovation de la toiture de la mairie,21468,10000,-,Réserve ministérielle
VILLARS-SAINT-GEORGES,25,La mise en accessibilité du gîte communal situé rue de l'Eglise,13500,5000,BRANGET Françoise,Assemblée nationale
VILLARS-SAINT-GEORGES,25,La réfection du Monument aux Morts,4600,2300,HUMBERT Jean-François,Sénat
VILLARS-SUR-VAR,6,La mise en accessibilité du domaine de la Source,300000,12100,HERVIAUX Odette,Sénat
VILLARS-VILLENOTTE,21,L'installation de radars pédagogiques,6878,2000,HOUPERT Alain,Sénat
VILLAUDRIC,31,"L'assainissement du réseau d'eau potable, route départementale 87, route de Sayrac (programme 2013)",225402,10000,CARRERE Jean-Louis,Sénat
VILLAZ,74,La réhabilitation du presbytère,459435,15000,CARLE Jean-Claude,Sénat
VILLE,67,La requalification urbaine (2ème tranche),456040,9000,SITTLER Esther,Sénat
VILLEAU,28,L'aménagement de l'office de la salle polyvalente,8535,3000,BILLARD Joël,Sénat
VILLEBAROU,41,L'aménagement d'aires de jeux à la Maison de l'enfance et à l'école maternelle Maria Vérone,36593,10000,PERRUCHOT Nicolas,Assemblée nationale
VILLEBEON,77,La mise en accessibilité de la mairie,18752,9376,JULIA Didier,Assemblée nationale
VILLEBOIS,1,"La réfection de la toiture de la grange située lieudit  ""en Gérose""",16990,8495,de la VERPILLIERE Charles,Assemblée nationale
VILLEBON-SUR-YVETTE,91,L'acquisition de tableaux numériques pour les écoles élémentaires et maternelles,25083,10000,MALHERBE Guy,Assemblée nationale
VILLEBOUT,41,La restauration de l'église,27861,2800,GOURAULT Jacqueline,Sénat
VILLEBRAMAR,47,La construction d'une halle couverte,167500,5000,TANDONNET Henri,Sénat
VILLECERF,77,La réfection de la voirie (programme 2012),20017,10000,JEGO Yves,Assemblée nationale
VILLECHAUVE,41,"La réfection de la toiture de la mairie, de l'installation électrique de l'église et des murs intérieurs de l'agence postale et de la salle polyvalente",28365,3000,GOURAULT Jacqueline,Sénat
VILLECHETIVE,89,La reprise de concessions funéraires,5145,1000,VILLIERS André,Sénat
VILLECLOYE,55,L'aménagement d'un chemin forestier,41447,3500,DUMONT Jean-Louis,Assemblée nationale
VILLECRESNES,94,L'aménagement des jardins familiaux,215013,5000,LE MENN Jacky,Sénat
VILLECRESNES,94,"Le ravalement des façades du centre culturel ""Le Fief""",69165,15000,PROCACCIA Catherine,Sénat
VILLECROZE,83,"Travaux d'aménagement de la Place ""Général de Gaulle"" (1ère tranche)",209030,14000,COLLOMBAT Pierre-Yves,Sénat
VILLEDIEU,84,La réfection du préau et de l'entrée de l'école,68563,18000,MARC François,Sénat
VILLE-DI-PIETRABUGNO,2B,Travaux d'éclairage public sur le chemin de Mucchitana,20000,10000,GANDOLFI-SCHEIT Sauveur,Assemblée nationale
VILLEDOMER,37,L'extension du restaurant scolaire et la construction d'un préau,211827,8500,HERVIAUX Odette,Sénat
VILLEDOMMANGE,51,La restauration du lavoir,36491,6200,VAUTRIN Catherine,Assemblée nationale
VILLE-EN-WOEVRE,55,La réhabilitation en logements communaux de l'ancien préau de l'école,134275,8000,NAMY Christian,Sénat
VILLEFAGNAN,16,L'aménagement d'un chemin piétonnier le long de la RD 19 reliant le bourg au plan d'eau des Trois Fontaines,67760,5000,SUEUR Jean-Pierre,Sénat
VILLEFONTAINE,38,La réfection de la piste cyclable du Vellein,29204,8000,COLOMBIER Georges,Assemblée nationale
VILLEFRANCHE-D'ASTARAC,32,L'aménagement du préau de l'ancienne école en salle culturelle,256450,10000,-,Réserve ministérielle
VILLEFRANCHE-DU-QUEYRAN,47,L'enfouissement des réseaux dans la traversée du bourg,112794,11000,DIEFENBACHER Michel,Assemblée nationale
VILLEFRANCHE-DU-QUEYRAN,47,L'aménagement de la partie sud du cimetière et l'extension du columbarium,58000,5000,HERVIAUX Odette,Sénat
VILLEFRANCHE-DU-QUEYRAN,47,La sécurisation des abords de l'école et la création d'un arrêt de bus,122440,5000,TANDONNET Henri,Sénat
VILLEFRANCHE-SUR-MER,6,L'acquisition d'un véhicule pour les services techniques,33600,10000,GUIBAL Jean-Claude,Assemblée nationale
VILLEFRANCHE-SUR-SAONE,69,L'extension de l'école maternelle Camille Claudel,490000,100000,ACCOYER Bernard,Assemblée nationale
VILLEFRANQUE,64,La requalification du centre bourg,173091,30000,GRENET Jean,Assemblée nationale
VILLEGATS,16,L'édification d'un columbarium,3300,1650,SUEUR Jean-Pierre,Sénat
VILLEGONGIS,36,La mise en place d'une réserve incendie,19158,4000,MAYET Jean-François,Sénat
VILLEJUIF,94,La réhabilitation des sanitaires du groupe scolaire Maximilien Robespierre,129099,40000,COHEN Laurence,Sénat
VILLEMANDEUR,45,L'acquisition et l'installation d'un bâtiment modulaire préfabriqué au groupe scolaire des Catalpas,79743,10000,SUEUR Jean-Pierre,Sénat
VILLEMANOCHE,89,La réhabilitation et l'extension de l'école primaire,281535,7000,FORT Marie-Louise,Assemblée nationale
VILLEMAREUIL,77,Le remplacement des radiateurs et l'installation d'une gestion d'énergie à l'école et l'acquisition d'un columbarium,6265,3132,RIESTER Franck,Assemblée nationale
VILLEMAREUIL,77,Le remplacement du chauffe-eau de la salle polyvalente,1216,600,HOUEL Michel,Sénat
VILLEMER,89,"La réhabilitation de la mairie, d'un logement, de la salle de motricité et du dortoir de l'école",348989,10000,SOISSON Jean-Pierre,Assemblée nationale
VILLEMEUX-SUR-EURE,28,L'aménagement des abords et la sécurisation de la rue des Marnières (RD 116) dans le hameau de Mauzaize,217718,5000,BILLARD Joël,Sénat
VILLEMOISSON-SUR-ORGE,91,"Le renouvellement du matériel scénique du centre culturel "" Le Ludion""",31248,5000,DELAHAYE Vincent,Sénat
VILLEMOMBLE,93,La rénovation du square de Verdun,752555,135000,CALMEJANE Patrice,Assemblée nationale
VILLEMOUSTAUSSOU,11,L'acquisition de matériel informatique et de mobilier pour l'école primaire,26635,3000,PEREZ Jean-Claude,Assemblée nationale
VILLEMOYENNE,10,L'aménagement du centre bourg,459866,8000,ADNOT Philippe,Sénat
VILLEMUR-SUR-TARN,31,La rénovation des balustres et des voûtes de l'allée Charles de Gaulle,561516,28000,RAOUL Daniel,Sénat
VILLEMUS,4,L'alimentation en eau potable des quartiers des Craux et de Dumaine,293528,5000,CARTRON Françoise,Sénat
VILLENEUVE-AU-CHEMIN,10,L'aménagement de l'agence postale et de la salle socio-culturelle,63200,2000,MATHIS Jean-Claude,Assemblée nationale
VILLENEUVE-D'AMONT,25,La restauration des faces exposées du clocher de l'église,72852,10000,BINETRUY Jean-Marie,Assemblée nationale
VILLENEUVE-DE-BERG,7,La restauration de la toiture de la chapelle Notre-Dame du Devois,38536,10000,ACCOYER Bernard,Assemblée nationale
VILLENEUVE-DE-DURAS,47,La construction d'une salle de classe et d'une cantine scolaire,259000,25000,ACCOYER Bernard,Assemblée nationale
VILLENEUVE-DE-LA-RAHO,66,"L'enfouissement des réseaux, rue Gustave Violet",170815,65000,ACCOYER Bernard,Assemblée nationale
VILLENEUVE-DE-MARSAN,40,La réhabilitation de la bibliothèque en médiathèque et de l'ancien centre de secours en maison de la musique,421305,30000,CARRERE Jean-Louis,Sénat
VILLENEUVE-LA-GARENNE,92,"L'installation d'un système de contrôle d'accès dans les centres de loisirs Joseph Kessel et ""Le Nouveau Monde""",90964,45000,-,Réserve ministérielle
VILLENEUVE-LA-GARENNE,92,La réhabilitation de la piscine (2ème phase),106527,50000,KAROUTCHI Roger,Sénat
VILLENEUVE-LE-COMTE,77,Le remplacement du bardage du dojo,24779,12000,JACOB Christian,Assemblée nationale
VILLENEUVE-LE-COMTE,77,La réhabilitation des logements communaux de l'ancien presbytère et de la rue Victor Hugo,280236,20000,HYEST Jean-Jacques,Sénat
VILLENEUVE-LEMBRON,63,L'aménagement du jardin de l'ancien presbytère,37880,3500,-,Réserve ministérielle
VILLENEUVE-LE-ROI,94,L'acquisition d'une balayeuse aspiratrice,130000,50000,GONZALES Didier,Assemblée nationale
VILLENEUVE-LE-ROI,94,La rénovation de l'éclairage de la place de l'Abbé-Bonin,25538,10000,-,Réserve ministérielle
VILLENEUVE-LES-BEZIERS,34,La démolition d'un bâtiment et l'embellissement de la place des Girondins,18651,9325,ABOUD Elie,Assemblée nationale
VILLENEUVE-LEZ-AVIGNON,30,La restauration de l'église collégiale Notre-Dame (dernière tranche),206686,60000,ROUBAUD Jean-Marc,Assemblée nationale
VILLENEUVE-LOUBET,6,L'acquisition de digues anti-inondation modulables,28945,14472,GIUDICELLI Colette,Sénat
VILLENEUVE-SAINT-NICOLAS,28,La construction d'un local technique,68300,15000,VIGIER Philippe,Assemblée nationale
VILLENEUVE-SOUS-DAMMARTIN,77,La réfection des façades et le remplacement des menuiseries extérieures de la mairie et l'aménagement d'une rampe d'accès,120000,5000,HOUEL Michel,Sénat
VILLENEUVE-SUR-AUVERS,91,Le remplacement du matériel de signalisation tricolore et la mise en place de radars de détection aux abords de l'école de Mesnil-Racoin,14962,5900,LE MENN Jacky,Sénat
VILLENEUVE-SUR-BELLOT,77,La construction d'un plateau ralentisseur devant le bâtiment mairie-école,15963,5000,JACOB Christian,Assemblée nationale
VILLENEUVE-SUR-CHER,18,"Le déplacement du Monument aux Morts du cimetière au centre bourg, l'édification d'un columbarium  et l'aménagement d'un jardin du souvenir",7188,2000,PILLET François,Sénat
VILLENEUVE-SUR-LOT,47,L'aménagement de réserves au musée de Gajac,182150,90000,CAHUZAC Jérôme,Assemblée nationale
VILLENEUVE-SUR-LOT,47,L'extension du skate park situé au parc des Expositions,27094,12000,CAHUZAC Jérôme,Assemblée nationale
VILLENEUVE-SUR-LOT,47,L'acquisition de tableaux blancs interactifs pour les écoles élémentaires (programme 2012),25218,11800,CAHUZAC Jérôme,Assemblée nationale
VILLENEUVE-SUR-LOT,47,La réfection de la façade du centre culturel Jacques Raphaël-Leygues,9835,4000,CAHUZAC Jérôme,Assemblée nationale
VILLENEUVE-SUR-LOT,47,La réfection du mur du cimetière de Collongues,2448,1200,CAHUZAC Jérôme,Assemblée nationale
VILLENEUVE-SUR-LOT,47,"L'aménagement de la rue Garcia Lorqua, du Moulin de Madame, du parvis Saint-Etienne et de l'éclairage du giratoire du pôle santé",401408,200000,CAHUZAC Jérôme,Assemblée nationale
VILLENEUVE-SUR-LOT,47,La réfection de la voirie et de l'éclairage public au lotissement Plein Sud (programme 2012),400257,200000,CAHUZAC Jérôme,Assemblée nationale
VILLENEUVE-SUR-LOT,47,"La réfection de la chaussée, rues des Frères Clavet et Rouget de l'Isle, l'aménagement d'un giratoire, rue de Grelot et la pose de containers enterrés",262192,131096,CAHUZAC Jérôme,Assemblée nationale
VILLENEUVE-SUR-LOT,47,L'aménagement d'une issue de secours au théâtre municipal Georges Leygues,9402,4500,CAHUZAC Jérôme,Assemblée nationale
VILLENEUVE-SUR-LOT,47,Le renouvellement de l'infrastructure téléphonique,135000,60000,CAHUZAC Jérôme,Assemblée nationale
VILLENEUVE-SUR-LOT,47,Réalisation de divers aménagements dans les écoles,82284,40000,CAHUZAC Jérôme,Assemblée nationale
VILLENEUVE-SUR-LOT,47,Le renouvellement de l'infrastructure informatique,420144,200000,CAHUZAC Jérôme,Assemblée nationale
VILLENEUVE-SUR-LOT,47,La réfection de la voirie (programme 2012),301094,150000,CAHUZAC Jérôme,Assemblée nationale
VILLENNES-SUR-SEINE,78,Le réaménagement de la cour de l'école maternelle des Chèvrefeuillles et du square du parc de la mairie,52900,20000,MORANGE Pierre,Assemblée nationale
VILLENOUVELLE,31,"La mise aux normes et la réhabilitation des logements locatifs situés 1, rue des Rosiers",22253,10000,CHATILLON Alain,Sénat
VILLEPINTE,93,La construction et l'équipement d'un centre de loisirs ouvert et d'un point animation jeunesse au quartier des Mousseaux,1672241,33250,ASENSI François,Assemblée nationale
VILLEPORCHER,41,"L'acquisition d'une partie de la propriété Genot au lieu-dit  ""Le Long des Bois""",102200,10000,REBSAMEN François,Sénat
VILLER,57,L'aménagement qualitatif de l'espace public,60540,5000,WOJCIECHOWSKI André,Assemblée nationale
VILLER,57,La réfection des murs extérieurs de la mairie,11711,3000,LE MENN Jacky,Sénat
VILLERBON,41,La construction d'un complexe scolaire,2187800,70000,-,Réserve ministérielle
VILLEREAU,45,"La réhabilitation de l'assainissement non collectif de la mairie, de l'école et de la salle polyvalente",36929,8000,SUEUR Jean-Pierre,Sénat
VILLEREST,42,La réfection de courts de tennis et la construction d'un city stade,98695,5000,MARC François,Sénat
VILLEROUGE-TERMENES,11,"La mise en sécurité du château, l'acquisition de matériel de projection et la mise aux normes électriques de l'aile Est",49574,20000,CARTRON Françoise,Sénat
VILLEROY,77,"La mise en valeur de la stèle de Charles Péguy et du musée ""14-18 Jacques Braquet""",21517,10000,ALBARELLO Yves,Assemblée nationale
VILLEROY,77,La construction d'un city stade,71111,4000,-,Réserve ministérielle
VILLERS-BOCAGE,14,L'acquisition d'un fonds documentaire pour la médiathèque,75000,7500,COUSIN Jean-Yves,Assemblée nationale
VILLERS-BUZON,25,L'aménagement piétonnier du chemin du Haut des Vignes,5744,2500,BRANGET Françoise,Assemblée nationale
VILLERS-DEVANT-MOUZON,8,La réfection de la rue du Pâquis,51521,7000,-,Réserve ministérielle
VILLERS-DEVANT-MOUZON,8,L'installation d'une nouvelle porte d'entrée à l'église,2520,424,-,Réserve ministérielle
VILLERS-EN-ARTHIES,95,La réfection et la mise aux normes d'accessibilité de l'accueil de la mairie,91666,20000,DELATTRE Francis,Sénat
VILLERS-EN-CAUCHIES,59,L'aménagement de la rue Emile Zola,201594,15000,HERVIAUX Odette,Sénat
VILLERS-EN-CAUCHIES,59,La modernisation de la gestion de la salle des sports et de l'espace sportif,10176,5000,LETARD Valérie,Sénat
VILLERS-EN-CAUCHIES,59,L'installation d'un plateau ralentisseur rue d'Haspres (RD 45),36900,6000,TÜRK Alex,Sénat
VILLERSEXEL,70,La requalification et l'aménagement du centre bourg,914158,35000,MICHEL Jean-Pierre,Sénat
VILLERS-FARLAY,39,"La réfection de la toiture de l'ancienne trésorerie située 58, rue Louis Pasteur",32520,5000,SERMIER Jean-Marie,Assemblée nationale
VILLERS-LA-CHEVRE,54,"Le remplacement des menuiseries et du système de chauffage, l'installation d'une chaudière électrique et la mise aux normes d'accessibilité des sanitaires au rez-de-chaussée de la mairie",18306,9000,ECKERT Christian,Assemblée nationale
VILLERS-LE-ROND,54,La réfection de l'église,24281,5000,REINER Daniel,Sénat
VILLERS-LE-SEC,2,L'aménagement et la rénovation de la mairie,38090,6000,JEANNEROT Claude,Sénat
VILLERS-LES-LUXEUIL,70,La construction d'une salle de convivialité,251850,10000,MARC François,Sénat
VILLERS-LES-ORMES,36,La construction d'un club house et de vestiaires pour le stade de football,57000,5000,MAYET Jean-François,Sénat
VILLERS-LES-POTS,21,La construction d'une médiathèque,254650,8000,-,Réserve ministérielle
VILLERS-LE-TOURNEUR,8,La réhabilitation de la signalisation routière,7930,2379,LAMENIE Marc,Sénat
VILLERS-LEZ-CAGNICOURT,62,La réfection du plancher de la salle des associations (2ème tranche),13523,5000,JEANNEROT Claude,Sénat
VILLERS-ROBERT,39,L'acquisition de mobilier et d'électro-ménager pour la salle communale,30936,4000,BARBIER Gilbert,Sénat
VILLERS-ROTIN,21,"L'aménagement d'une avancée couverte pour la future entrée, la réfection de la toiture de la mairie et de la dépendance",37654,3000,HOUPERT Alain,Sénat
VILLERS-SAINT-CHRISTOPHE,2,L'aménagement du cimetière,18071,3600,BERTRAND Xavier,Assemblée nationale
VILLERS-SAINT-CHRISTOPHE,2,La réhabilitation du chauffage de l'église,8932,4000,BERTRAND Xavier,Assemblée nationale
VILLERS-SAINT-MARTIN,25,Le remplacement des portes de l'église,5720,1500,HUMBERT Jean-François,Sénat
VILLERS-SOUS-AILLY,80,La restauration de l'église,61751,7000,DUBOIS Daniel,Sénat
VILLERS-SOUS-MONTROND,25,L'installation d'une chaufferie bois avec réseau de chaleur au sous-sol de la mairie,147960,3000,HUMBERT Jean-François,Sénat
VILLERS-SUR-LE-MONT,8,La réhabilitation de la mairie,87973,4000,POLETTI Bérengère,Assemblée nationale
VILLERS-SUR-MEUSE,55,La réhabilitation de l'ancienne poste en logements communaux,242800,7000,LEONARD Claude,Sénat
VILLERS-TOURNELLE,80,La mise en sécurité et hors d'eau de l'église Saint-Jacques,15986,3000,GEST Alain,Assemblée nationale
VILLERY,10,La réfection de la voirie (programme 2012),22864,4000,MATHIS Jean-Claude,Assemblée nationale
VILLE-SOUS-LA-FERTE,10,Le remplacement des fenêtres et d'une porte de la salle polyvalente,10368,2000,GAILLARD Yann,Sénat
VILLE-SUR-LUMES,8,La construction d'une salle multiactivités,545707,7000,HURE Benoît,Sénat
VILLE-SUR-LUMES,8,La réfection et la mise en sécurité de la cour de l'école,5789,2894,LAMENIE Marc,Sénat
VILLETHIERRY,89,L'acquisition et la pose d'un ensemble cinéraire,6172,3086,FORT Marie-Louise,Assemblée nationale
VILLETOUREIX,24,L'aménagement du parc du presbytère,13698,6849,JEANNEROT Claude,Sénat
VILLETRUN,41,"Réalisation d'aménagements de sécurité, rues du Berry, de la Picotière et de l'Ile de France",20434,2000,GOURAULT Jacqueline,Sénat
VILLETTE,54,La réfection de la salle polyvalente,96972,8000,NACHBAR Philippe,Sénat
VILLETTES,27,"Travaux d'éclairage public, rue Principale",1800,900,PONIATOWSKI Ladislas,Sénat
VILLETTES,27,L'installation de poteaux d'incendie,7386,2000,PONIATOWSKI Ladislas,Sénat
VILLEVEQUE,49,L'aménagement du Moulin de Froment (2ème tranche),252181,20000,JEANNETEAU Paul,Assemblée nationale
VILLEVIEILLE,30,La mise en sécurité de la RD 22 en traversée d'agglomération,60985,5000,FOURNIER Jean-Paul,Sénat
VILLEXAVIER,17,L'aménagement du cimetière et l'édification d'un columbarium,22089,3000,BUSSEREAU Dominique,Assemblée nationale
VILLEXAVIER,17,L'aménagement d'un parking et d'espaces paysagers,21345,8500,-,Réserve ministérielle
VILLEZ-SUR-LE-NEUBOURG,27,Travaux de réfection des façades de la salle polyvalente de Villez-sur-le-Neubourg,4306,2000,MAUREY Hervé,Sénat
VILLIE-MORGON,69,La réhabilitation des installations sportives situées aux abords du collège,609262,20000,PERRUT Bernard,Assemblée nationale
VILLIERS,86,L'acquisition de tableaux blancs interactifs et d'ordinateurs pour l'école et l'aménagement d'aires de jeux,13482,4000,CLAEYS Alain,Assemblée nationale
VILLIERS-ADAM,95,"L'extension et la rénovation de la bibliothèque, rue Benjamin Godard",28750,10000,PONIATOWSKI Axel,Assemblée nationale
VILLIERS-ADAM,95,L'équipement informatique de l'école primaire Paul Cézanne,10025,4500,SUEUR Jean-Pierre,Sénat
VILLIERS-EN-DESOEUVRE,27,La réfection et la restructuration des locaux scolaires et péri-scolaires,336300,10000,-,Réserve ministérielle
VILLIERSFAUX,41,La construction d'une classe maternelle et d'une salle de motricité,317717,15000,GOURAULT Jacqueline,Sénat
VILLIERS-LE-MAHIEU,78,"L'aménagement d'une micro-crèche au 18, rue du Centre",154140,45000,HERVIAUX Odette,Sénat
VILLIERS-LE-PRE,50,L'aménagement de l'éclairage public aux abords de la salle polyvalente et de la mairie,20733,5000,HUET Guenhaël,Assemblée nationale
VILLIERS-SOUS-PRASLIN,10,La restauration du lavoir (programme 2012),8863,1200,MATHIS Jean-Claude,Assemblée nationale
VILLIERS-VINEUX,89,L'extension et la rénovation de la salle des fêtes,14554,7277,ROLLAND Jean-Marie,Assemblée nationale
VILLIEU-LOYES-MOLLON,1,L'acquisition d'un défibrillateur cardiaque automatique et d'un boîtier mural pour la salle polyvalente,1868,933,GOY-CHAVENT Sylvie,Sénat
VILLOGNON,16,L'aménagement du bourg (1ère tranche),359665,5000,SUEUR Jean-Pierre,Sénat
VILLY-BOCAGE,14,L'aménagement de la mairie en rez-de-chaussée de l'ancien presbytère,221987,8000,COUSIN Jean-Yves,Assemblée nationale
VILLY-EN-TRODES,10,"La réfection du clocher, des battants de cloches et des portes de l'église, la mise aux normes de l'électricité dans la salle du cadastre et les sanitaires de l'école et l'édification d'un columbarium",16194,3000,ADNOT Philippe,Sénat
VILLY-LE-BOIS,10,"L'aménagement des abords de la mairie, la pose d'une rampe d'accès pour les personnes à mobilité réduite et la mise en sécurité de l'arrêt de bus",13270,1000,ADNOT Philippe,Sénat
VILLY-LE-BOUVERET,74,La construction d'une cantine et d'une garderie périscolaire,419293,60000,ACCOYER Bernard,Assemblée nationale
VILLY-LE-BOUVERET,74,L'extension de la mairie dans le couvert existant et le réaménagement du 1er étage,47992,20000,CARLE Jean-Claude,Sénat
VIMARCE,53,La réfection de l'école et l'installation d'une chaufferie collective au bois déchiqueté et d'un réseau de chaleur,168000,7500,ARTHUIS Jean,Sénat
VIMONT,14,La restructuration et la mise en accessibilité de la mairie,340000,9000,DUMONT Laurence,Assemblée nationale
VINANTES,77,La réfection de la porte d'entrée de l'église,5788,2000,-,Réserve ministérielle
VINAX,17,La restauration de l'église (tranche ferme),159488,47000,-,Réserve ministérielle
VINCELLES,39,Aménagements de sécurité sur les routes départementales n°44 et n°72,413000,10000,BARBIER Gilbert,Sénat
VINCELLES,71,La mise en sécurité et en accessibilité des espaces publics du bourg (tranches 2 et 3),211118,14000,BEAUMONT René,Sénat
VINCENNES,94,La mise en accessibilité de la Maison des Solidarités (2ème plan handicap),120811,50000,BEAUDOUIN Patrick,Assemblée nationale
VINDELLE,16,La construction et l'équipement d'une 4ème classe élémentaire et l'acquisition de matériel pour le restaurant scolaire,27437,3000,SUEUR Jean-Pierre,Sénat
VINGT-HANAPS,61,La réalisation de travaux d'éclairage public,58186,5000,LENOIR Jean-Claude,Sénat
VIRANDEVILLE,50,L'aménagement du bourg,245055,12000,CAZENEUVE Bernard,Assemblée nationale
VIRE,14,L'aménagement du centre ville (2ème tranche),1254181,150000,COUSIN Jean-Yves,Assemblée nationale
VIRE,14,La réfection de la cour du groupe scolaire Jean Moulin,125973,13777,COUSIN Jean-Yves,Assemblée nationale
VIRELADE,33,L'aménagement de la traversée du bourg RD1113 - séquence 1 (programme 2013),131745,9141,PINTAT Xavier,Sénat
VIREY,50,La restructuration de l'école maternelle,430000,25000,HUET Guenhaël,Assemblée nationale
VIRIAT,1,L'acquisition de défibrillateurs cardiaques automatiques et de boîtiers muraux,3733,1866,GOY-CHAVENT Sylvie,Sénat
