Bénéficiaire,Département,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve
ANGLURE,51,L'extension de la salle communale,176900,7000,de COURSON Charles,Assemblée nationale
ANGOS,65,L'aménagement des abords de la mairie,14401,4000,FORTASSIN François,Sénat
ANGUERNY,14,La restauration des communs de la Grange aux Dîmes,347500,8000,DUPONT Jean-Léonce,Sénat
ANHIERS,59,La rénovation de la salle des fêtes à usage de cantine scolaire et l'extension de la cuisine,291029,30875,CANDELIER Jean-Jacques,Assemblée nationale
ANJOU,38,L'extension du groupe scolaire,630000,10000,SAUGEY Bernard,Sénat
ANLA,65,Le remplacement de la borne incendie du quartier de l'église,2965,1420,FORTASSIN François,Sénat
ANNAY-SOUS-LENS,62,L'aménagement d'une aire de jeux à l'entrée de l'école Péri-Curie,7792,2500,DELCOURT Guy,Assemblée nationale
ANNECY-LE-VIEUX,74,La couverture de courts de tennis du complexe sportif d'Albigny,668000,100000,ACCOYER Bernard,Assemblée nationale
ANNECY-LE-VIEUX,74,La réhabilitation de la cantine du groupe scolaire des Pommaries,500000,50000,ACCOYER Bernard,Assemblée nationale
ANNECY-LE-VIEUX,74,Travaux de revêtement bitumineux (programme 2012),274000,80000,ACCOYER Bernard,Assemblée nationale
ANNECY-LE-VIEUX,74,"Le prolongement de la promenade Lacustre, avenue de Chavoires",1003000,100000,ACCOYER Bernard,Assemblée nationale
ANNECY-LE-VIEUX,74,La mise en accessibilité des bâtiments et des espaces publics (programme 2012),268000,50000,ACCOYER Bernard,Assemblée nationale
ANNESSE-ET-BEAULIEU,24,La restauration des façades des églises,23266,3000,DEGUILHEM Pascal,Assemblée nationale
ANNET-SUR-MARNE,77,La construction d'un logis de la compagnie d'Arc,115256,25000,ALBARELLO Yves,Assemblée nationale
ANNET-SUR-MARNE,77,La construction d'un local pour la pétanque et les jeux de boules,99414,7000,HOUEL Michel,Sénat
ANNEYRON,26,L'extension du gymnase,130000,2500,THORAVAL Marie-Hélène,Assemblée nationale
ANNOISIN-CHATELANS,38,La restauration de l'église Notre-Dame,216835,10000,SAUGEY Bernard,Sénat
