Bénéficiaire,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve,Part prise en charge,Département,Groupe parlementaire,Lien vers données parlementaires
SAINT-JOSEPH,L'acquisition d'une balayeuse de voirie,73000,30000,LE MENN Jacky,Sénat,"0,4109589041",974,,http://nossenateurs.fr/LE%20MENN%20Jacky/xml
SAINT-JOSEPH-DES-BANCS,L'aménagement d'une salle multi-usages et ses abords sur le site de La Plaine,350000,10000,HERVIAUX Odette,Sénat,"0,0285714286",7,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
SAINT-JUIRE-CHAMPGILLON,La construction d'une école maternelle,623574,10000,DARNICHE Philippe,Sénat,"0,0160365891",85,NI,http://nossenateurs.fr/DARNICHE%20Philippe/xml
SAINT-JULIEN,La restauration de l'orgue de l'église,9579,2000,DELATTE Rémi,Assemblée nationale,"0,2087900616",21,UMP,http://2007.nosdeputes.fr/DELATTE%20Rémi/xml
SAINT-JULIEN-D'ANCE,Travaux de dallage dans le hangar et le dépôt communal,15295,6000,ROCHE Gérard,Sénat,"0,3922850605",43,UDI,http://nossenateurs.fr/ROCHE%20Gérard/xml
SAINT-JULIEN-DE-CHEDON,La construction d'un terrain multisports,100012,10000,REINER Daniel,Sénat,"0,0999880014",41,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
SAINT-JULIEN-DE-COPPEL,La restructuration et l'extension du groupe scolaire,1558136,20000,MARC François,Sénat,"0,01283585",63,SOC,http://nossenateurs.fr/MARC%20François/xml
SAINT-JULIEN-DE-JONZY,"L'acquisition d'un terrain, la construction d'une station d'épuration et l'aménagement d'un chemin d'accés",155444,10000,ACCOYER Bernard,Assemblée nationale,"0,0643318494",71,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
SAINT-JULIEN-DE-JONZY,L'équipement mobilier et numérique de l'école,17343,2000,EMORINE Jean-Paul,Sénat,"0,1153203021",71,UMP,http://nossenateurs.fr/EMORINE%20Jean-Paul/xml
SAINT-JULIEN-DE-LA-LIEGUE,"La réfection de l'éclairage public au lieu dit ""L'Epivent""",686,340,PONIATOWSKI Ladislas,Sénat,"0,4956268222",27,UMP,http://nossenateurs.fr/PONIATOWSKI%20Ladislas/xml
SAINT-JULIEN-DE-TOURSAC,La restauration du plafond et du crépi intérieur de l'église,19574,4000,MEZARD Jacques,Sénat,"0,2043527128",15,RDSE,http://nossenateurs.fr/MEZARD%20Jacques/xml
SAINT-JULIEN-D'EYMET,L'aménagement du cimetière,15971,3000,RAOUL Daniel,Sénat,"0,1878404608",24,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
SAINT-JULIEN-DU-PINET,Le renforcement du réservoir de Pérignac au Sipep d'Yssingeaux,153676,10000,ROCHE Gérard,Sénat,"0,0650719696",43,UDI,http://nossenateurs.fr/ROCHE%20Gérard/xml
SAINT-JULIEN-DU-PUY,Le passage au très haut débit de la commune,11687,5843,0,Réserve ministérielle,"0,4999572174",81,,
SAINT-JULIEN-EN-BEAUCHENE,La réalisation de trompes l'oeil sur la façade de la mairie et l'acquisition de plaques de rue,2516,1200,BERNARD-REYMOND Pierre,Sénat,"0,4769475358",5,NI,http://nossenateurs.fr/BERNARD-REYMOND%20Pierre/xml
SAINT-JULIEN-EN-GENEVOIS,La construction d'une maison intergénérationnelle de l'enfance et de la famille,6919000,43500,BIRRAUX Claude,Assemblée nationale,"0,0062870357",74,UMP,http://2007.nosdeputes.fr/BIRRAUX%20Claude/xml
SAINT-JULIEN-EN-VERCORS,Le réaménagement de la salle des fêtes,162080,10000,0,Réserve ministérielle,"0,0616979269",26,,
SAINT-JULIEN-LE-MONTAGNIER,"L'extension et la réhabilitation partielle de la résidence de retraite ""Le Verdon""",2592500,15000,COLLOMBAT Pierre-Yves,Sénat,"0,0057859209",83,RDSE,http://nossenateurs.fr/COLLOMBAT%20Pierre-Yves/xml
SAINT-JULIEN-LE-MONTAGNIER,La réhabilitation des gîtes communaux,138250,10000,TRUCY François,Sénat,"0,0723327306",83,UMP,http://nossenateurs.fr/TRUCY%20François/xml
SAINT-JULIEN-LES-METZ,Le remplacement de la chaudière du groupe scolaire Paul Langevin,43324,12000,ZIMMERMANN Marie-Jo,Assemblée nationale,"0,2769827347",57,UMP,http://2007.nosdeputes.fr/ZIMMERMANN%20Marie-Jo/xml
SAINT-JULIEN-LES-MONTBELIARD,"L'aménagement et l'enfouissement des réseaux, rue du Temple",56506,15000,HERVIAUX Odette,Sénat,"0,2654585354",25,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
SAINT-JULIEN-LES-MONTBELIARD,La restauration et la mise en valeur de la fontaine-lavoir,20377,3500,HUMBERT Jean-François,Sénat,"0,171762281",25,UMP,http://nossenateurs.fr/HUMBERT%20Jean-François/xml
SAINT-JULIEN-LES-ROSIERS,L'installation d'une nouvelle chaudière pour les écoles,14370,5000,MICHEL Jean-Pierre,Sénat,"0,347947112",30,SOC,http://nossenateurs.fr/MICHEL%20Jean-Pierre/xml
SAINT-JULIEN-MAUMONT,Le renforcement du chemin rural de la Prade,11238,1500,LE MENN Jacky,Sénat,"0,1334757074",19,,http://nossenateurs.fr/LE%20MENN%20Jacky/xml
SAINT-JULIEN-MOLIN-MOLETTE,L'acquisition d'une sonorisation mobile,5975,2987,ACCOYER Bernard,Assemblée nationale,"0,499916318",42,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
SAINT-JULIEN-PRES-BORT,La réfection de la toiture de la Cure de Vaux,17325,5000,DUPONT Jean-Pierre,Assemblée nationale,"0,2886002886",19,UMP,http://2007.nosdeputes.fr/DUPONT%20Jean-Pierre/xml
SAINT-JULIEN-SUR-BIBOST,L'aménagement des abords de la salle des fêtes (tranche 1),188214,15000,VERCHERE Patrice,Assemblée nationale,"0,0796965157",69,UMP,http://2007.nosdeputes.fr/VERCHERE%20Patrice/xml
SAINT-JULIEN-SUR-CHER,"L'extension du réseau d'assainissement des eaux usées, rue Sainte Catherine et rue des Genêts",106000,10000,MARTIN-LALANDE Patrice,Assemblée nationale,"0,0943396226",41,UMP,http://2007.nosdeputes.fr/MARTIN-LALANDE%20Patrice/xml
SAINT-JULIEN-SUR-VEYLE,La réfection de l'entrée du cimetière,6711,2000,VOISIN Michel,Assemblée nationale,"0,2980181791",1,UMP,http://2007.nosdeputes.fr/VOISIN%20Michel/xml
SAINT-JUST-D'ARDECHE,Le désamiantage de la maison communale,21500,5000,TERRASSE Pascal,Assemblée nationale,"0,2325581395",7,SRC,http://2007.nosdeputes.fr/TERRASSE%20Pascal/xml
SAINT-JUST-EN-BRIE,La réfection du château d'eau,19600,9800,JACOB Christian,Assemblée nationale,"0,5",77,UMP,http://2007.nosdeputes.fr/JACOB%20Christian/xml
SAINT-JUST-EN-CHAUSSEE,L'acquisition de matériel informatique pour les écoles primaires,40000,10000,DASSAULT Olivier,Assemblée nationale,"0,25",60,UMP,http://2007.nosdeputes.fr/DASSAULT%20Olivier/xml
SAINT-JUST-EN-CHEVALET,La construction d'une station d'épuration,1598128,12000,MARC François,Sénat,"0,0075087853",42,SOC,http://nossenateurs.fr/MARC%20François/xml
SAINT-JUST-LA-PENDUE,L'acquisition de mobilier pour l'espace bibliothèque situé dans la Maison des associations,13758,2000,MARC François,Sénat,"0,1453699666",42,SOC,http://nossenateurs.fr/MARC%20François/xml
SAINT-JUST-MALMONT,La réhabilitation de la salle polyvalente de la mairie,162980,32596,ACCOYER Bernard,Assemblée nationale,"0,2",43,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
SAINT-JUST-MALMONT,L'aménagement du bourg de Malmont,111395,25000,0,Réserve ministérielle,"0,2244265901",43,,
SAINT-LAGER,La mise en lumière de la chapelle de Brouilly,108779,30000,PERRUT Bernard,Assemblée nationale,"0,2757885254",69,UMP,http://2007.nosdeputes.fr/PERRUT%20Bernard/xml
SAINT-LAMBERT-ET-MONT-DE-JEUX,La mise aux normes d'accessibilité et des travaux d'isolation de la salle polyvalente,10832,1624,0,Réserve ministérielle,"0,1499261448",8,,
SAINT-LANNE,"La réhabilitation du bâtiment de l'ancienne mairie, en appartements à louer (1ère tranche)",77100,3000,REINER Daniel,Sénat,"0,0389105058",65,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
SAINT-LARY,"L'aménagement et la réhabilitation des soubassements de l'église Saint-Hilaire et du mur d'enceinte du cimetière, l'édification d'un columbarium et la mise en accessibilité des parkings communaux",14115,7057,0,Réserve ministérielle,"0,4999645767",32,,
SAINT-LARY-SOULAN,La valorisation des airains,68697,7000,GLAVANY Jean,Assemblée nationale,"0,1018967349",65,SRC,http://2007.nosdeputes.fr/GLAVANY%20Jean/xml
SAINT-LAURENT,La viabilisation de logements pour les personnes à mobilité réduite et les personnes âgées,51552,7000,OGET Marie-Renée,Assemblée nationale,"0,1357852266",22,SRC,http://2007.nosdeputes.fr/OGET%20Marie-Renée/xml
SAINT-LAURENT,"La construction d'un parking, rue des Campanules et le ravalement des façades de la mairie et de la salle polyvalente",51174,5000,POLETTI Bérengère,Assemblée nationale,"0,0977058663",8,UMP,http://2007.nosdeputes.fr/POLETTI%20Bérengère/xml
SAINT-LAURENT,"La construction d'un bâtiment abritant un restaurant scolaire, une bibliothèque et un bureau de direction pour l'école et l'aménagement de sanitaires accessibles aux personnes à mobilité réduite",301276,9000,VERGNIER Michel,Assemblée nationale,"0,0298729404",23,SRC,http://2007.nosdeputes.fr/VERGNIER%20Michel/xml
SAINT-LAURENT-D'ARCE,"L'éclairage du carrefour giratoire situé entre les routes départementales 137, 133 et 142",20529,10000,PINTAT Xavier,Sénat,"0,4871157874",33,UMP,http://nossenateurs.fr/PINTAT%20Xavier/xml
SAINT-LAURENT-DE-CERDANS,La réfection de la toiture des sanitaires du camping municipal,20039,10000,IRLES Jacqueline,Assemblée nationale,"0,4990268975",66,UMP,http://2007.nosdeputes.fr/IRLES%20Jacqueline/xml
SAINT-LAURENT-DE-LA-SALANQUE,L'aménagement de jardins familiaux,169998,15000,SIRE Fernand,Assemblée nationale,"0,0882363322",66,UMP,http://2007.nosdeputes.fr/SIRE%20Fernand/xml
SAINT-LAURENT-DE-LIN,L'extension du cimetière,27647,10000,BRIAND Philippe,Assemblée nationale,"0,3617028972",37,UMP,http://2007.nosdeputes.fr/BRIAND%20Philippe/xml
SAINT-LAURENT-DE-MURE,"La construction du bâtiment ""Le Cercle"" à vocation associative et sportive",2591573,200000,0,Réserve ministérielle,"0,0771732072",69,,
SAINT-LAURENT-DE-NESTE,L'aménagement de l'avenue des Sports (2ème tranche),122392,15000,REINER Daniel,Sénat,"0,1225570299",65,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
SAINT-LAURENT-DE-NESTE,L'acquisition des locaux de l'ancienne poste,175000,10000,REINER Daniel,Sénat,"0,0571428571",65,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
SAINT-LAURENT-DES-ARBRES,La construction d'un court de tennis,34700,5000,ROUBAUD Jean-Marc,Assemblée nationale,"0,144092219",30,UMP,http://2007.nosdeputes.fr/ROUBAUD%20Jean-Marc/xml
SAINT-LAURENT-DES-ARBRES,Travaux de correction acoustique et d'amélioration de l'éclairage du centre socio-culturel Pierre Garcia,15186,5000,FOURNIER Jean-Paul,Sénat,"0,3292506256",30,UMP,http://nossenateurs.fr/FOURNIER%20Jean-Paul/xml
SAINT-LAURENT-DES-HOMMES,La réfection de la toiture de la mairie,47975,10000,JEANNEROT Claude,Sénat,"0,2084418968",24,SOC,http://nossenateurs.fr/JEANNEROT%20Claude/xml
SAINT-LAURENT-DE-VAUX,"L'aménagement d'un chemin piétonnier, le long de la voie communale n°10",21945,10000,GUILLOTEAU Christophe,Assemblée nationale,"0,4556846662",69,UMP,http://2007.nosdeputes.fr/GUILLOTEAU%20Christophe/xml
SAINT-LAURENT-D'OLT,"La réfection du préau de l'école, l'habillage des murs en bardage bois et la construction d'un abri",9551,4775,MARC Alain,Assemblée nationale,"0,4999476495",12,UMP,http://2007.nosdeputes.fr/MARC%20Alain/xml
SAINT-LAURENT-D'ONAY,La réfection de la toiture des dépendances de la Maison Thomé,11218,3365,ACCOYER Bernard,Assemblée nationale,"0,299964343",26,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
SAINT-LAURENT-DU-CROS,La construction d'une nouvelle mairie,450000,10000,BERNARD-REYMOND Pierre,Sénat,"0,0222222222",5,NI,http://nossenateurs.fr/BERNARD-REYMOND%20Pierre/xml
SAINT-LAURENT-DU-MOTTAY,"La restauration des voûtes, de la nef, du transept et du choeur de l'église",464735,15000,DE CHARETTE Hervé,Assemblée nationale,"0,0322764586",49,NC,http://2007.nosdeputes.fr/DE%20CHARETTE%20Hervé/xml
SAINT-LAURENT-EN-GATINES,La réhabilitation du réseau d'eaux usées (1ère tranche),135275,15000,LANCELIN Raymond,Assemblée nationale,"0,1108852338",37,UMP,http://2007.nosdeputes.fr/LANCELIN%20Raymond/xml
SAINT-LAURENT-L'ABBAYE,La réfection des façades et des menuiseries extérieures de la mairie et de l'agence postale,16899,5070,SUEUR Jean-Pierre,Sénat,"0,3000177525",58,SOC,http://nossenateurs.fr/SUEUR%20Jean-Pierre/xml
SAINT-LAURENT-LA-CONCHE,La réhabilitation de la partie ancienne du bâtiment abritant l'école de la Thoranche,35603,5000,MARC François,Sénat,"0,1404376036",42,SOC,http://nossenateurs.fr/MARC%20François/xml
SAINT-LAURENT-LE-MINIER,La pose d'un plancher à la salle communale Roger Delenne,8048,4023,DUMAS William,Assemblée nationale,"0,4998757455",30,SRC,http://2007.nosdeputes.fr/DUMAS%20William/xml
SAINT-LEGER,L'acquisition d'un véhicule utilitaire et de divers matériels techniques,101801,50000,0,Réserve ministérielle,"0,4911543109",17,,
SAINT-LEGER-DE-ROTES,"Travaux d'éclairage public, rue de l'Abesse",1679,800,PONIATOWSKI Ladislas,Sénat,"0,4764740917",27,UMP,http://nossenateurs.fr/PONIATOWSKI%20Ladislas/xml
SAINT-LEGER-DES-VIGNES,L'équipement du restaurant scolaire situé place du 11 Novembre,61676,20000,CARRERE Jean-Louis,Sénat,"0,3242752448",58,SOC,http://nossenateurs.fr/CARRERE%20Jean-Louis/xml
SAINT-LEGER-EN-CHARNIE,La construction d'une station d'épuration et l'aménagement d'un réseau d'assainissement du bourg,223868,7500,ZOCCHETTO François,Sénat,"0,033501885",53,UDI,http://nossenateurs.fr/ZOCCHETTO%20François/xml
SAINT-LEGER-PRES-TROYES,La construction d'une école maternelle et de ses annexes (2ème tranche),666658,10000,MATHIS Jean-Claude,Assemblée nationale,"0,015000195",10,UMP,http://2007.nosdeputes.fr/MATHIS%20Jean-Claude/xml
SAINT-LEGER-SOUS-LA-BUSSIERE,La réhabilitation et la mise en conformité de la mairie et du logement communal,241500,20000,VOISIN Gérard,Assemblée nationale,"0,082815735",71,UMP,http://2007.nosdeputes.fr/VOISIN%20Gérard/xml
SAINT-LEGER-SUR-DHEUNE,La restructuration et la mise en accessibilité de la mairie,286719,12000,ANCIAUX Jean-Paul,Assemblée nationale,"0,0418528245",71,UMP,http://2007.nosdeputes.fr/ANCIAUX%20Jean-Paul/xml
SAINT-LEON,La réfection de chemins ruraux (programme 2012),25570,12000,DIEFENBACHER Michel,Assemblée nationale,"0,4692999609",47,UMP,http://2007.nosdeputes.fr/DIEFENBACHER%20Michel/xml
SAINT-LEONARD,L'aménagement de garages et l'extention de la caserne de pompiers,183920,18000,CHERPION Gérard,Assemblée nationale,"0,0978686385",88,UMP,http://2007.nosdeputes.fr/CHERPION%20Gérard/xml
SAINT-LEON-SUR-L'ISLE,"L'extension, le réaménagement et la mise aux normes d'accessibilité du restaurant scolaire et du centre de loisirs",347400,5000,RAOUL Daniel,Sénat,"0,014392631",24,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
SAINT-LEU-LA-FORET,La reconstruction de l'école maternelle Marie Curie et l'aménagement de ses abords,1137124,40000,BODIN Claude,Assemblée nationale,"0,0351764627",95,UMP,http://2007.nosdeputes.fr/BODIN%20Claude/xml
SAINT-LEU-LA-FORET,La réfection d'une partie du mur de clôture du cimetière,41806,20000,BODIN Claude,Assemblée nationale,"0,4784002296",95,UMP,http://2007.nosdeputes.fr/BODIN%20Claude/xml
SAINT-LEZIN,L'aménagement d'un ensemble modulaire à l'atelier communal,10700,2000,GOUA Marc,Assemblée nationale,"0,1869158879",49,SRC,http://2007.nosdeputes.fr/GOUA%20Marc/xml
SAINT-LOUET-SUR-SEULLES,"La réfection de la chaussée, chemin de la campagne",11854,1500,COUSIN Jean-Yves,Assemblée nationale,"0,1265395647",14,UMP,http://2007.nosdeputes.fr/COUSIN%20Jean-Yves/xml
SAINT-LOUET-SUR-SEULLES,Le remplacement des menuiseries extérieures de la mairie et de la salle de réunion,14377,2500,COUSIN Jean-Yves,Assemblée nationale,"0,1738888502",14,UMP,http://2007.nosdeputes.fr/COUSIN%20Jean-Yves/xml
SAINT-LOUIS,La construction de vestiaires pour le club de rugby au stade de l'Au,599750,120000,UEBERSCHLAG Jean,Assemblée nationale,"0,2000833681",68,UMP,http://2007.nosdeputes.fr/UEBERSCHLAG%20Jean/xml
SAINT-LOUIS DE MARIE-GALANTE,L'acquisition d'un camion double cabine destiné à la prévention des risques naturels,50500,25250,HERVIAUX Odette,Sénat,"0,5",971,SOC,http://nossenateurs.fr/HERVIAUX%20Odette/xml
SAINT-LOUIS-LES-BITCHE,La réfection du plancher haut de l'église,5300,2000,MASSON Jean-Louis,Sénat,"0,3773584906",57,,http://nossenateurs.fr/MASSON%20Jean-Louis/xml
SAINT-LOUP-CAMMAS,L'acquisition d'un véhicule utilitaire pour les services techniques,16097,8000,CHATILLON Alain,Sénat,"0,4969870162",31,UMP,http://nossenateurs.fr/CHATILLON%20Alain/xml
SAINT-LOUP-DU-DORAT,La construction d'une terrasse et d'un parking aux abords de la salle multi-activités,33253,10000,BERNIER Marc,Assemblée nationale,"0,3007247466",53,UMP,http://2007.nosdeputes.fr/BERNIER%20Marc/xml
SAINT-LOUP-DU-DORAT,La réhabilitation de la salle des fêtes en salle multi-activités,197944,10000,ZOCCHETTO François,Sénat,"0,0505193388",53,UDI,http://nossenateurs.fr/ZOCCHETTO%20François/xml
SAINT-LOUP-DU-GAST,L'isolation extérieure et le remplacement des menuiseries de la classe élémentaire et la réfection de la zinguerie à l'école publique,43293,7500,ZOCCHETTO François,Sénat,"0,1732381678",53,UDI,http://nossenateurs.fr/ZOCCHETTO%20François/xml
SAINT-LOUP-GEANGES,La construction d'un bâtiment à usage d'ateliers communaux et de caserne pour les pompiers du corps de première intervention,311830,10000,MONTEBOURG Arnaud,Assemblée nationale,"0,0320687554",71,SRC,http://2007.nosdeputes.fr/MONTEBOURG%20Arnaud/xml
SAINT-LOUP-TERRIER,L'acquisition de plaques de rues et de numérotation,3409,1704,LAMENIE Marc,Sénat,"0,4998533294",8,,http://nossenateurs.fr/LAMENIE%20Marc/xml
SAINT-LOYER-DES-CHAMPS,La réfection de la toiture de l'ancien presbytère,13429,2000,LENOIR Jean-Claude,Sénat,"0,1489314171",61,UMP,http://nossenateurs.fr/LENOIR%20Jean-Claude/xml
SAINT-LUBIN-DES-JONCHERETS,La restauration de l'église (tranche intermédiaire),75858,15000,de MONTGOLFIER Albéric,Sénat,"0,1977378787",28,UMP,http://nossenateurs.fr/de%20MONTGOLFIER%20Albéric/xml
SAINT-LUBIN-EN-VERGONNOIS,La réfection de la rue du Stade et de la rue Pierre de Coubertin,86304,4500,GOURAULT Jacqueline,Sénat,"0,0521412681",41,UDI,http://nossenateurs.fr/GOURAULT%20Jacqueline/xml
SAINT-LUMINE-DE-COUTAIS,L'aménagement d'un cheminement doux reliant le bourg au village de la Masure,66646,10000,GUERRIAU Joël,Sénat,"0,1500465144",44,UDI,http://nossenateurs.fr/GUERRIAU%20Joël/xml
SAINT-LYS,"La construction de la Maison des Associations, de la Culture et des Solidarités",4436387,36000,RAOUL Daniel,Sénat,"0,0081147114",31,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
SAINT-MACAIRE-EN-MAUGES,La construction de la Maison des Arts et de la Musique,1316600,15000,DEROCHE Catherine,Sénat,"0,0113929819",49,UMP,http://nossenateurs.fr/DEROCHE%20Catherine/xml
SAINT-MACLOU,Aménagements de voirie et d'espaces publics des routes départementales 675 et 180,968930,15615,BOURDIN Joël,Sénat,"0,0161157153",27,UMP,http://nossenateurs.fr/BOURDIN%20Joël/xml
SAINT-MAIGNER,L'aménagement d'une bibliothèque,17142,5000,ASSOULINE David,Sénat,"0,2916812507",63,SOC,http://nossenateurs.fr/ASSOULINE%20David/xml
SAINT-MAIXENT-DE-BEUGNE,"L'acquisition de plaques de rues, de numéros d'habitations et de panneaux de signalisation et d'informations touristiques",12752,6000,MORISSET Jean-Marie,Assemblée nationale,"0,4705144291",79,UMP,http://2007.nosdeputes.fr/MORISSET%20Jean-Marie/xml
SAINT-MALO-DE-BEIGNON,La réfection et l'extension de la mairie et de la salle des fêtes,576429,15000,BOUVARD Loïc,Assemblée nationale,"0,0260222855",56,UMP,http://2007.nosdeputes.fr/BOUVARD%20Loïc/xml
SAINT-MAMET,L'acquisition d'une mini pelle avec une remorque de transport,34278,2650,CARRERE Jean-Louis,Sénat,"0,0773090612",31,SOC,http://nossenateurs.fr/CARRERE%20Jean-Louis/xml
SAINT-MANDE,L'amélioration des conditions d'accueil du public à l'Hôtel de Ville,160000,80000,ACCOYER Bernard,Assemblée nationale,"0,5",94,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
SAINT-MANDE,La requalification de la partie nord de l'avenue du Général de Gaulle,1450000,100000,BEAUDOUIN Patrick,Assemblée nationale,"0,0689655172",94,UMP,http://2007.nosdeputes.fr/BEAUDOUIN%20Patrick/xml
SAINT-MANVIEU-NORREY,L'extension et la rénovation de la salle de la Londe,744316,4000,DURON Philippe,Assemblée nationale,"0,0053740616",14,SRC,http://2007.nosdeputes.fr/DURON%20Philippe/xml
SAINT-MARCEL,La réfection de la voirie (programme 2012),88854,15000,FORISSIER Nicolas,Assemblée nationale,"0,1688162604",36,UMP,http://2007.nosdeputes.fr/FORISSIER%20Nicolas/xml
SAINT-MARCEL,La rénovation intérieure de la mairie,14349,6700,FORISSIER Nicolas,Assemblée nationale,"0,4669314935",36,UMP,http://2007.nosdeputes.fr/FORISSIER%20Nicolas/xml
SAINT-MARCEL,La mise en sécurité de la traversée du village,22000,2000,JOYANDET Alain,Assemblée nationale,"0,0909090909",70,UMP,http://2007.nosdeputes.fr/JOYANDET%20Alain/xml
SAINT-MARCEL,La mise en place de réseaux d'assainissement et la construction d'une station d'épuration,489000,10000,DIDIER Evelyne,Sénat,"0,0204498978",54,CRC,http://nossenateurs.fr/DIDIER%20Evelyne/xml
SAINT-MARCEL,La réfection de la toiture de la mairie,25958,3000,LAMENIE Marc,Sénat,"0,1155713075",8,,http://nossenateurs.fr/LAMENIE%20Marc/xml
SAINT-MARCEL-EN-DOMBES,L'aménagement d'une médiathèque,227055,8000,REINER Daniel,Sénat,"0,0352337539",1,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
SAINT-MARCEL-LES-VALENCE,L'acquisition de matériel informatique pour l'école primaire Bouvier et d'un jeu de cours pour l'école maternelle A. Blanc,16359,6000,REINER Daniel,Sénat,"0,366770585",26,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
SAINT-MARCORY,La restauration de l'église (1ère et 2ème tranches),127758,30000,GARRIGUE Daniel,Assemblée nationale,"0,2348189546",24,NI,http://2007.nosdeputes.fr/GARRIGUE%20Daniel/xml
SAINT-MARD,Travaux de menuiserie dans la salle de réunion de la mairie,21895,6500,0,Réserve ministérielle,"0,2968714318",77,,
SAINT-MARD,L'installation d'un paratonnerre sur l'église,8637,2500,0,Réserve ministérielle,"0,2894523561",77,,
SAINT-MARD,La réfection de la salle polyvalente de la Fontaine des Tournelles,46875,14000,0,Réserve ministérielle,"0,2986666667",77,,
SAINT-MARD,Le remplacement de fenêtres et de la porte d'entrée du logement communal,3974,1500,JEANNEROT Claude,Sénat,"0,3774534474",2,SOC,http://nossenateurs.fr/JEANNEROT%20Claude/xml
SAINT-MARD,L'isolation des combles du logement communal,2968,500,NACHBAR Philippe,Sénat,"0,1684636119",54,UMP,http://nossenateurs.fr/NACHBAR%20Philippe/xml
SAINT-MARD,La réfection du crépi de l'ancien mur du cimetière et de la façade arrière du bâtiment mairie,10444,1000,REINER Daniel,Sénat,"0,0957487553",54,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
SAINT-MARD-DE-VAUX,La réfection et la mise en sécurité de la rue des Fougères,180715,8500,SIRUGUE Christophe,Assemblée nationale,"0,0470353872",71,SRC,http://2007.nosdeputes.fr/SIRUGUE%20Christophe/xml
SAINT-MARDS-EN-OTHE,La réfection de la voirie (programme 2012),86676,4000,MATHIS Jean-Claude,Assemblée nationale,"0,0461488763",10,UMP,http://2007.nosdeputes.fr/MATHIS%20Jean-Claude/xml
SAINT-MARS-DE-LOCQUENAY,"Le remplacement d'une porte extérieure, d'une fenêtre et de la serrure de la porte d'entrée du logement communal situé 8, place de l'Eglise",2021,1000,KARAMANLI Marietta,Assemblée nationale,"0,4948045522",72,SRC,http://2007.nosdeputes.fr/KARAMANLI%20Marietta/xml
SAINT-MARS-LA-BRIERE,La réhabilitation de l'école élémentaire Claude Chappe et du restaurant scolaire,24843,9000,KARAMANLI Marietta,Assemblée nationale,"0,3622750875",72,SRC,http://2007.nosdeputes.fr/KARAMANLI%20Marietta/xml
SAINT-MARS-VIEUX-MAISONS,Le remplacement de la porte d'entrée de la mairie de Saint Mars et des fenêtres et de la porte d'entrée du logement de l'ancienne mairie de Vieux-Maisons,11366,5500,JACOB Christian,Assemblée nationale,"0,4838993489",77,UMP,http://2007.nosdeputes.fr/JACOB%20Christian/xml
SAINT-MARTIAL-DE-VALETTE,L'aménagement du centre bourg et de ses espaces publics,329937,5000,RAOUL Daniel,Sénat,"0,0151544083",24,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
SAINT-MARTIAL-SUR-NE,La restauration de l'église,215540,20000,ACCOYER Bernard,Assemblée nationale,"0,0927902014",17,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
SAINT-MARTIN,La construction d'une école communale (2ème tranche),138409,10000,FORTASSIN François,Sénat,"0,0722496369",65,RDSE,http://nossenateurs.fr/FORTASSIN%20François/xml
SAINT-MARTIN-AUX-CHARTRAINS,La restauration de l'église (1ère tranche),124234,10000,AMELINE Nicole,Assemblée nationale,"0,0804932627",14,UMP,http://2007.nosdeputes.fr/AMELINE%20Nicole/xml
SAINT-MARTIN-BELLE-ROCHE,"La restauration du ""vieux clocher"" de l'église (2ème tranche)",37760,10000,VOISIN Gérard,Assemblée nationale,"0,2648305085",71,UMP,http://2007.nosdeputes.fr/VOISIN%20Gérard/xml
SAINT-MARTIN-BELLE-ROCHE,"La restauration des fresques et des vitraux du ""vieux clocher""",42890,14000,COURTOIS Jean-Patrick,Sénat,"0,3264164141",71,UMP,http://nossenateurs.fr/COURTOIS%20Jean-Patrick/xml
SAINT-MARTIN-D'ARMAGNAC,L'aménagement d'une cantine scolaire,166500,10000,VALL Raymond,Sénat,"0,0600600601",32,RDSE,http://nossenateurs.fr/VALL%20Raymond/xml
SAINT-MARTIN-DE-BAVEL,L'acquisition de matériel informatique pour l'école,10552,5000,REINER Daniel,Sénat,"0,4738438211",1,SOC,http://nossenateurs.fr/REINER%20Daniel/xml
SAINT-MARTIN-DE-BLAGNY,La restauration de l'église,85730,10000,LEFRANC Jean-Marc,Assemblée nationale,"0,1166452817",14,UMP,http://2007.nosdeputes.fr/LEFRANC%20Jean-Marc/xml
