Bénéficiaire,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve,Part prise en charge,Département,Groupe parlementaire,Lien vers données parlementaires
AIME,Travaux de voirie (programme 2012),30056,5000,VIAL Jean-Pierre,Sénat,"0,1663561352",73,UMP,http://nossenateurs.fr/VIAL%20Jean-Pierre/xml
AINCOURT,La restauration des statues de Saint Jean l'Evangéliste et Saint Jean-Baptiste,8182,4091,HOUILLON Philippe,Assemblée nationale,"0,5",95,UMP,http://2007.nosdeputes.fr/HOUILLON%20Philippe/xml
AINCREVILLE,La démolition du pont de l'ancienne ligne de chemin de fer,6000,3000,DUMONT Jean-Louis,Assemblée nationale,"0,5",55,SRC,http://2007.nosdeputes.fr/DUMONT%20Jean-Louis/xml
AINGERAY,"La mise en sécurité de la desserte scolaire de la cantine intercommunale, rue de la Mairie (1ère tranche)",131770,10000,MORENVILLIER Philippe,Assemblée nationale,"0,075889808",54,UMP,http://2007.nosdeputes.fr/MORENVILLIER%20Philippe/xml
AINGOULAINCOURT,"La restauration de la toiture, des façades et du plafond du coeur de l'église",43589,4000,SIDO Bruno,Sénat,"0,0917662713",52,UMP,http://nossenateurs.fr/SIDO%20Bruno/xml
AINGOULAINCOURT,L'effacement des réseaux aériens,98250,6000,SIDO Bruno,Sénat,"0,0610687023",52,UMP,http://nossenateurs.fr/SIDO%20Bruno/xml
AIRE,"L'aménagement d'une nouvelle voirie rue du Moulin et la construction de trottoirs, route de l'Etang",14827,5000,POLETTI Bérengère,Assemblée nationale,"0,3372226344",8,UMP,http://2007.nosdeputes.fr/POLETTI%20Bérengère/xml
AIRE-SUR-LA-LYS,La restauration de la charpente et de la couverture de l'Hôtel de Ville,2846508,5000,LEFAIT Michel,Assemblée nationale,"0,0017565382",62,SRC,http://2007.nosdeputes.fr/LEFAIT%20Michel/xml
AISEREY,"L'aménagement d'une aire de jeux extérieurs pour enfants, place Gau Bickelheim",67949,13600,REBSAMEN François,Sénat,"0,2001501126",21,SOC,http://nossenateurs.fr/REBSAMEN%20François/xml
AISEY-ET-RICHECOURT,L'acquisition d'un bâtiment et d'un terrain en vue de la création d'une salle de convivialité,43000,10000,RAISON Michel,Assemblée nationale,"0,2325581395",70,UMP,http://2007.nosdeputes.fr/RAISON%20Michel/xml
