date,heure,convocation,présent
2011-04-04,18:30,2011-03-30,M. Alain Marchal
2011-04-04,18:30,2011-03-30,M. Gilles Laporte
2011-04-04,18:30,2011-03-30,M. Jean-Christophe Elineau
2011-04-04,18:30,2011-03-30,M. Jacques Lafitte
2011-04-04,18:30,2011-03-30,M. Jean-Jacques Lesbats
2011-04-04,18:30,2011-03-30,Mme Jessy Pean
2012-03-05,18:30,2012-02-24,M. Jean-Luc Blanc-Simon
2012-03-05,18:30,2012-02-24,Mme Angélina Sourigues
2012-03-05,18:30,2012-02-24,M. Serge Dupouy
2012-03-05,18:30,2012-02-24,Mme Valérie Gardeils
2012-03-05,18:30,2012-02-24,Mme Nelly Gillet
2012-03-05,18:30,2012-02-24,M. Jean Fornier de Lachaux
2012-03-05,18:30,2012-02-24,M. Jean-Pierre Lassalle
2012-03-05,18:30,2012-02-24,M. Alain Marchal
2012-03-05,18:30,2012-02-24,M. Gilles Laporte
2012-03-05,18:30,2012-02-24,M. Jacques Lafitte
2012-03-05,18:30,2012-02-24,M. Jean-Jacques Lesbats
2012-03-05,18:30,2012-02-24,Mme Jessy Péan
2010-04-06,18:30,2010-03-31,M. Fourcade Michel
2010-04-06,18:30,2010-03-31,M. Blanc-Simon Jean-Luc
2010-04-06,18:30,2010-03-31,Mme Sourigues Angéline
2010-04-06,18:30,2010-03-31,M. Dupouy Serge
2010-04-06,18:30,2010-03-31,Mme Gillet Nelly
2010-04-06,18:30,2010-03-31,M. Fornier de Lachaux Jean
2010-04-06,18:30,2010-03-31,M. Lassalle Jean-Pierre
2010-04-06,18:30,2010-03-31,M. Marchal Alain
2010-04-06,18:30,2010-03-31,M. Laporte Gilles
2010-04-06,18:30,2010-03-31,Mme Gardeils Valérie
2010-04-06,18:30,2010-03-31,M. Martinez Laurent
2010-04-06,18:30,2010-03-31,M. Elineau Jean-Christophe -
2008-12-08,20:00,2008-12-02,M. Fourcade Michel
2008-12-08,20:00,2008-12-02,M. Morel Yves
2008-12-08,20:00,2008-12-02,M. Blanc-Simon Jean-Luc
