pays,nom pap,auteur,titre,editeur,type,editeur trad,source
ALGÉRIE,Mohammed Dib,BRETON ROLAND,Géographie des civilisations,PUF,Sciences Sociales et Humaines,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,BUCAILLE MAURICE,"La Bible, le Coran et la Science",Robert Laffont,Sciences Sociales et Humaines,Maison des livres,1990-2005.pdf
ALGÉRIE,Mohammed Dib,BURLAUD ALAIN & SIMON CLAUDE,Le Contrôle de gestion,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CACOUAULT MARLAINE & ŒUVRARD FRANÇOISE,Sociologie de l’éducation,La Découverte,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CAGLAR HUGUETTE,La Psychologie scolaire,PUF,Sciences Sociales et Humaines,Afaq,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CALLON MICHEL & COURTIAL JEAN-PIERRE,La Scientométrie,PUF,Sciences et Techniques,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CALVET LOUIS-JEAN,La Sociolinguistique,PUF,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CAMPELL ROBERT,La Trigonométrie,PUF,Sciences et Techniques,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CASSEYRE JEAN-PIERRE & GAILLARD CATHERINE,Les Bibliothèques universitaires,PUF,Sciences Sociales et Humaines,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CATHALA HENRI-PIERRE,Explorations fonctionnelles du système nerveux,Ellipses,Sciences et Techniques,Berti,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CHARBY JACQUES,Les Porteurs d’espoir,La Découverte,Sciences Sociales et Humaines,Chihab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CHAREF ABED,Au nom du fils,L’Aube,Lettres,Marsa,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CHARFI MOHAMED,Islam et Liberté. Le malentendu historique,Albin Michel,Sciences Sociales et Humaines,Casbah,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CHASSARD-BOUCHAUD COLETTE,Environnement et Radioactivité,PUF,Sciences et Techniques,Dahlab,1990-2005.pdf
ALGÉRIE,Mohammed Dib,CHAST MICHEL,Les Douleurs,Albin Michel,Sciences et Techniques,Dahlab,1990-2005.pdf
